trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_8900_20260220,,05:55:00,STOP_RMT,0
T_8900_20260220,06:02:00,06:05:00,STOP_RTB,1
T_8900_20260220,07:31:00,07:39:00,STOP_SMN,2
T_8900_20260220,08:18:00,08:21:00,STOP_BO2,3
T_8900_20260220,08:47:00,08:49:00,STOP_F__,4
T_8900_20260220,09:25:00,09:27:00,STOP_PD_,5
T_8900_20260220,09:42:00,09:44:00,STOP_VEM,6
T_8900_20260220,09:55:00,,STOP_VSL,7
T_8902_20260220,,08:02:00,STOP_TSC,0
T_8902_20260220,08:25:00,08:27:00,STOP_MNF,1
T_8902_20260220,08:32:00,08:34:00,STOP_RHA,2
T_8902_20260220,08:58:00,09:00:00,STOP_LTL,3
T_8902_20260220,09:08:00,09:10:00,STOP_PGR,4
T_8902_20260220,09:27:00,09:29:00,STOP_SDP,5
T_8902_20260220,09:55:00,10:17:00,STOP_VEM,6
T_8902_20260220,10:33:00,10:35:00,STOP_PD_,7
T_8902_20260220,11:08:00,11:10:00,STOP_F__,8
T_8902_20260220,11:39:00,11:42:00,STOP_BO2,9
T_8902_20260220,12:20:00,12:28:00,STOP_SMN,10
T_8902_20260220,13:54:00,13:57:00,STOP_RTB,11
T_8902_20260220,14:05:00,14:15:00,STOP_RMT,12
T_8902_20260220,15:33:00,,STOP_NAC,13
T_8903_20260220,,07:05:00,STOP_VSL,0
T_8903_20260220,07:15:00,07:17:00,STOP_VEM,1
T_8903_20260220,07:33:00,07:35:00,STOP_PD_,2
T_8903_20260220,08:09:00,08:11:00,STOP_F__,3
T_8903_20260220,08:39:00,08:42:00,STOP_BO2,4
T_8903_20260220,09:20:00,09:28:00,STOP_SMN,5
T_8903_20260220,10:54:00,10:57:00,STOP_RTB,6
T_8903_20260220,11:05:00,11:15:00,STOP_RMT,7
T_8903_20260220,12:33:00,,STOP_NAC,8
T_8905_20260220,,08:05:00,STOP_VSL,0
T_8905_20260220,08:15:00,08:17:00,STOP_VEM,1
T_8905_20260220,08:33:00,08:35:00,STOP_PD_,2
T_8905_20260220,08:55:00,08:57:00,STOP_R__,3
T_8905_20260220,09:39:00,09:42:00,STOP_BO2,4
T_8905_20260220,10:20:00,10:28:00,STOP_SMN,5
T_8905_20260220,11:54:00,11:57:00,STOP_RTB,6
T_8905_20260220,12:10:00,,STOP_RMT,7
T_8906_20260220,,08:55:00,STOP_RMT,0
T_8906_20260220,09:02:00,09:05:00,STOP_RTB,1
T_8906_20260220,10:31:00,10:39:00,STOP_SMN,2
